 Loan Number ,Disbursement Date,Loan Term,Loan Amount,Closing Balance,Interest Rate,Admin Fee,Credit Insurance Fee,Loan Type
"100,120,684,000,092",20/07/2020,5,1000,0.04,0.0025,0.02,0.017,B2B
"100,120,684,000,093",20/07/2020,5,1000,0.04,0.0025,0.02,0.017,B2B
"100,120,684,000,094",05/08/2020,4,2500,0,0.0025,0.02,0.017,B2B
"100,120,684,000,095",14/08/2020,4,400,1.04,0.0025,0.02,0.017,B2B
"100,120,684,000,096",14/08/2020,4,450,1.68,0.0025,0.02,0.017,B2B
"100,120,684,000,097",14/08/2020,4,1000,0.59,0.0025,0.02,0.017,B2B
"100,120,684,000,098",14/08/2020,4,300,1.78,0.0025,0.02,0.017,B2B
"100,120,684,000,099",14/08/2020,4,500,0.29,0.0025,0.02,0.017,B2B
"100,120,684,000,100",14/08/2020,4,400,1.04,0.0025,0.02,0.017,B2B
"100,120,684,000,101",14/08/2020,4,1020,1.65,0.0025,0.02,0.017,B2B
"100,120,684,000,102",14/08/2020,4,1000,0.59,0.0025,0.02,0.017,B2B
"100,120,684,000,103",14/08/2020,4,510,0.82,0.0025,0.02,0.017,B2B
"100,120,684,000,104",14/08/2020,4,600,1.55,0.0025,0.02,0.017,B2B
"100,120,684,000,105",14/08/2020,4,1550,1.52,0.0025,0.02,0.017,B2B
"100,120,684,000,106",14/08/2020,4,500,0.29,0.0025,0.02,0.017,B2B
"100,120,684,000,107",14/08/2020,4,500,0.29,0.0025,0.02,0.017,B2B
"100,120,684,000,108",14/08/2020,4,500,0.29,0.0025,0.02,0.017,B2B
"100,120,684,000,109",14/08/2020,4,300,1.78,0.0025,0.02,0.017,B2B
"100,120,684,000,110",14/08/2020,4,1430,1.21,0.0025,0.02,0.017,B2B
"100,120,684,000,111",14/08/2020,4,500,0.29,0.0025,0.02,0.017,B2B
"100,120,684,000,112",14/08/2020,4,950,1.97,0.0025,0.02,0.017,B2B
"100,120,684,000,113",14/08/2020,4,2790,0.75,0.0025,0.02,0.017,B2B
"100,120,684,000,114",02/09/2020,3,580,150.08,0.0025,0.02,0.017,B2B
"100,120,684,000,115",10/09/2020,3,520,0.4,0.0025,0.02,0.017,B2B
"100,120,684,000,116",10/09/2020,3,400,0.68,0.0025,0.02,0.017,B2B
"100,120,684,000,117",10/09/2020,3,600,0.52,0.0025,0.02,0.017,B2B
"100,120,684,000,118",15/09/2020,3,680,0.87,0.0025,0.02,0.017,B2B
"100,120,684,000,119",16/09/2020,3,300,0,0.0025,0.02,0.017,B2B
"100,120,684,000,120",24/09/2020,3,400,2.65,0.0025,0.02,0.017,B2B
"100,120,684,000,121",08/10/2020,2,500,0.01,0.0025,0.02,0.017,B2B
"100,120,684,000,122",08/10/2020,2,420,0,0.0025,0.02,0.017,B2B
"100,120,684,000,123",08/10/2020,2,150,0,0.0025,0.02,0.017,B2B
"100,120,684,000,124",08/10/2020,2,300,0.01,0.0025,0.02,0.017,B2B
"100,120,684,000,125",08/10/2020,2,280,0.01,0.0025,0.02,0.017,B2B
"100,120,684,000,126",08/10/2020,2,600,0,0.0025,0.02,0.017,B2B
"100,120,684,000,127",08/10/2020,2,890,0.01,0.0025,0.02,0.017,B2B
"100,120,684,000,128",08/10/2020,2,300,0.01,0.0025,0.02,0.017,B2B
"100,120,684,000,129",08/10/2020,2,400,0.01,0.0025,0.02,0.017,B2B
"100,120,684,000,130",08/10/2020,2,240,-0.01,0.0025,0.02,0.017,B2B
"100,120,684,000,131",08/10/2020,2,225,0,0.0025,0.02,0.017,B2B
"100,120,684,000,132",08/10/2020,2,460,0,0.0025,0.02,0.017,B2B
"100,120,684,000,133",08/10/2020,2,300,0.01,0.0025,0.02,0.017,B2B
"100,120,684,000,134",26/10/2020,2,140,0.01,0.0025,0.02,0.017,B2B
"100,120,684,000,135",26/10/2020,2,220,-0.01,0.0025,0.02,0.017,B2B
"100,120,684,000,136",26/10/2020,2,150,0.01,0.0025,0.02,0.017,B2B
"100,120,684,000,137",14/12/2020,6,3000,-563.06,0.0025,0.02,0.017,B2B
"100,120,684,000,138",10/12/2020,6,1500,56.43,0.0025,0.02,0.017,B2B
"100,120,684,000,139",11/01/2021,6,350,0.84,0.0025,0.02,0.017,B2B
"100,120,684,000,140",11/01/2021,6,1000,4.98,0.0025,0.02,0.017,B2B
"100,120,684,000,141",11/01/2021,6,1000,4.98,0.0025,0.02,0.017,B2B
"100,120,684,000,142",11/01/2021,6,500,5.49,0.0025,0.02,0.017,B2B
"100,120,684,000,143",11/01/2021,6,1000,4.98,0.0025,0.02,0.017,B2B
